% Pendulum System
% b = 0.1, l = 1, g = 9.8, m = 2.5
% x0 = [0, 0]
% t, theta, alpha, F
0.0,0.0,0.0,4
0.001,1.333298720426667e-06,0.0015999388281557163,4
0.002,4.26646421117996e-06,0.0031997875295492802,4
0.003,8.799393283704045e-06,0.004799530430426726,4
0.004,1.4931967077131052e-05,0.006399151858800221,4
0.005,2.266405106017512e-05,0.007998636144601567,4
0.006,3.199549503317996e-05,0.009597967619835666,4
0.007,4.292613313031977e-05,0.011197130618733972,4
0.008,5.5455783821953696e-05,0.012796109477907899,4
0.008999999999999998,6.958424991713365e-05,0.014394888536502209,4
0.01,8.531131856626532e-05,0.01599345213634838,4
0.011,0.0001026367612639228,0.017591784622117874,4
0.012,0.0001215603338518163,0.019189870341475505,4
0.013,0.00014208177652191302,0.020787693645232613,4
0.014,0.0001642008138197118,0.0223852388875003,4
0.015,0.00018791715464766998,0.023982490425842613,4
0.016,0.00021323049226878432,0.025579432621429657,4
0.017,0.00024014050431032466,0.027176049839190686,4
0.017999999999999995,0.00026864685276772025,0.028772326447967164,4
0.019,0.0002987491840086,0.030368246820665707,4
0.02,0.00033044712877698456,0.03196379533441112,4
0.021,0.00036374030219763246,0.03355895637069922,4
0.022,0.0003986283037805382,0.035153714315549756,4
0.023,0.0004351107174255832,0.036748053559659134,4
0.024,0.00047318711142734074,0.03834195849855324,4
0.025,0.0005128570384800314,0.03993541353274006,4
0.026,0.0005541200356826336,0.04152840306786241,4
0.027,0.0005969756245441449,0.04312091151485042,4
0.028,0.0006414233109889967,0.04471292329007411,4
0.029,0.0006874625853626206,0.04630442281549586,4
0.03,0.0007350929224371687,0.04789539451882277,4
0.031,0.0007843137814173848,0.049485822833659016,4
0.032,0.0008351246059466276,0.051075692199658115,4
0.033,0.0008875248241130494,0.05266498706267515,4
0.034,0.0009415138484559207,0.054253691874918894,4
0.035,0.000997091075972114,0.055841791095103815,4
0.036,0.001054255888122735,0.05742926918860222,4
0.037,0.0011130076508399055,0.05901611062759603,4
0.038,0.0011733457145337023,0.060602299891228686,4
0.039,0.0012352694140992438,0.062187821465756965,4
0.04,0.0012987780689239293,0.06377265984470261,4
0.041,0.0013638709828948305,0.06535679952900401,4
0.042,0.0014305474444062367,0.06694022502716769,4
0.043,0.0014988067263673453,0.06852292085541976,4
0.044,0.0015686480862101102,0.07010487153785741,4
0.045,0.0016400707658972382,0.07168606160660003,4
0.046,0.0017130739919303379,0.07326647560194052,4
0.047,0.0017876569753582183,0.07484609807249645,4
0.048,0.0018638189117853403,0.07642491357536096,4
0.049,0.0019415589813804148,0.07800290667625377,4
0.05,0.002020876348885161,0.07958006194967208,4
0.051,0.0021017701636232037,0.08115636397904127,4
0.052,0.0021842395595091323,0.08273179735686549,4
0.053,0.0022682836550576985,0.0843063466848784,4
0.054,0.002353901553393178,0.08587999657419351,4
0.055,0.0024410923422588716,0.08745273164545454,4
0.056,0.00252985509402676,0.08902453652898583,4
0.057,0.002620188865707316,0.0905953958649423,4
0.058,0.0027120926989594504,0.0921652943034596,4
